moveId,sinopsis,rating
2577,"After ten years absence Toni, Chris's best friend, suddenly reappears in London to bring chaos and doubt into Chris's calm, tranquil, slightly boring, predictable life. Chris starts to remember his carefree youth as a photographer in Paris when he lived with and enjoyed a torrid affair with Annick. It was also in Paris that he first met and fell in love with Marion. The temptations and pressure exerted on Chris by Toni to return to their former carefree life of sex, drugs and rock'n'roll soon starts to have an impact on Chris's marriage. He starts to question his values, his lifestyle choices and his relationship with Marion and even suspects her of starting an affair with Toni whom she dislikes! Eventually circumstances come to a head and Chris is forced to decide whether to follow Toni back to the hedonistic, irresponsible life of his youth or face the harsh realities of the present and stay with Marion.",58
2579,"Bill, an idle, unemployed aspiring writer, walks the crowded streets of London following randomly chosen strangers, a seemingly innocent entertainment that becomes dangerous when he crosses paths with a mysterious character.",72
2580,"Grocery store clerk Simon occasionally sells drugs from his cash register at work, so when soap opera actors Adam and Zack come looking for Ecstasy on a quiet Christmas Eve, they are surprised to find Ronna covering his shift. Desperate for money, Ronna decides to become an impromptu drug dealer, unaware that Adam and Zack are secretly working for obsessed narcotics officer Burke.",69
2581,"Josie Geller, a baby-faced junior copywriter at the Chicago Sun-Times, must pose as a student at her former high school to research contemporary teenage culture. With the help of her brother, Rob, Josie infiltrates the inner circle of the most popular clique on campus. But she hits a major snag in her investigation -- not to mention her own failed love life -- when she falls for her dreamy English teacher, Sam Coulson.",62
2582,"Twins, separated at birth, end up as a Hong Kong gangster and a New York concert pianist. When the pianist travels to Hong Kong for a concert, the two inevitably get mistaken for each other.",66
2587,Two men in 1930s Mississippi become friends after being sentenced to life in prison together for a crime they did not commit.,67
2583,Conflict arises in the small town of Holly Springs when an old woman's death causes a variety of reactions among family and friends.,65
2586,Police investigate when a man having an affair with his brother's wife disappears suddenly.,55
2585,"Otto and Ana are kids when they meet each other. Their names are palindromes. They meet by chance, people are related by chance. A story of circular lives, with circular names, and a circular place (Círculo polar) where the day never ends in the midnight sun. There are things that never end, and Love is one of them.",73
2589,"Friends for ten years, a group of twenty-somethings head for the ski slopes as guests of Ian's father. (Ian and dad are estranged because dad worked too many hours when Ian was a lad.) Dad has something to say, but Ian won't listen. Meanwhile, David is gay and virginal; Ian's business partner, Keaton, is unhappy that his sister Jane is pregnant with no plans to tell the father; Lisa is everybody's pal and no one's lover; John, stuck in adolescence, is always on the make. He brings German-born stunner, Carla, and promptly loses her affection to Hans, a fast-talking ski instructor. David meets Manny: they have chess in common. Soon, surprises abound as relationships take new turns.",54
2590,"In 1972, disenchanted about the dreary conventions of English life, 25-year-old Julia heads for Morocco with her daughters, six-year-old Lucy and precocious eight-year-old Bea.",61
2594,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured.",75
2593,"A vicious serial sex killer is on the loose, and landscape gardener and shop-window outfitter Loris is the prime suspect, thanks to his unfortunate habit of getting caught in compromising situations (for which there is always a totally innocent explanation that the police fail to spot). Undercover policewoman Jessica is assigned by eccentric police psychologist Taccone to follow Loris and ...",70
2596,"Two former geeks become 1980s punks, then party and go to concerts while deciding what to do with their lives.",71
2598,Two air traffic controllers who thrive on living dangerously compete to outdo each other on several levels.,58
2597,"In order to impress his beautiful French neighbor, Dylan Ramsey dognaps her pet pooch so he can return him and become a hero.",52
2599,"Jim McAllister, a well-liked high school government teacher, can't help but notice that successful student Tracy Flick uses less than ethical tactics to get what she wants. When Tracy runs for school president, Jim feels that she will be a poor influence on the student body and convinces Paul, a dim-witted but popular student athlete, to run against Tracy. When she becomes aware of Jim's secret involvement in the race, a bitter feud is sparked.",68
2600,A game designer on the run from assassins must play her latest virtual reality creation with a marketing trainee to determine if the game has been damaged.,68
2606,"Anton is a cheerful but exceedingly non-ambitious 17-year-old stoner who lives to stay buzzed, watch TV, and moon over Molly, the beautiful girl who lives next door. However, it turns out that the old cliché about idle hands being the devil's playground has a kernel of truth after all.",61
2605,"Two thieves, who travel in elegant circles, try to outsmart each other and, in the process, end up falling in love.",62
2612,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.,77
2613,"Two girls from the Valley wake up to find that a passing comet has eradicated their world and left behind a mysterious red-dust and a pack of cannibal mutants. With the help of a friendly truck driver, the girls save the earth from a villainous ""think tank,"" karate chop their way through flesh-eating zombies, and, of course, find time to go to the mall.",63
2609,Wang Bianlian is an aging street performer known as the King of Mask for his mastery of Sichuan Change Art in a true story. His wife left him with and infant son over 30 years ago. The son died from illness at age 10. This left Wang a melancholy loner aching for a male descendent to learn his rare and dying art.,72
2611,"Early 20th century England: while toasting his daughter Catherine's engagement, Arthur Winslow learns the royal naval academy expelled his 14-year-old son, Ronnie, for stealing five shillings. Father asks son if it is true; when the lad denies it, Arthur risks fortune, health, domestic peace, and Catherine's prospects to pursue justice.",68
2614,"A group of teenagers that work at the mall all get together for a late night party in one of the stores. When the mall goes on lock down before they can get out, the robot security system activates after a malfunction and goes on a killing spree. One by one the three bots try to rid the mall of the “intruders.” The only weapons the kids can use are the supplies in other stores, or if they can make it till morning when the mall opens back up.",59
2616,The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.,61
2618,"A Melbourne family is very happy living near the Melbourne airport. However, they are forced to leave their beloved home (by the Government and airport authorities) to make way for more runways. 'The Castle' is the story of how they fight to remain in their home.",71
2620,"When schoolteacher Kieran Johnson discovers that his father was not a French sailor (as he had been led to believe) but rather an Irish farmer, he looks to his mother for answers. When she refuses to provide any, Kieran travels to Ireland.",59
2617,Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.,69
2615,"Michael and Ellie break into a military junkyard to find a science project for Michael's class, and discover a strange glowing orb which absorbs electricity. When the orb begins to blend past, present, and future, its up to Michael and Ellie to stop the orb and save mankind.",62
2623,"Greg is near the end of his senior year in high school, wanting to go to the prom, eyeing Cinny (the school's beauty with brains) from afar, and regularly trippin', daydreaming about being a big success as a poet, a student, a lover. His mom wants him to apply to colleges, but Greg hasn't a clue. One of his teachers, Mr. Shapic, tries to inspire him, too. He finally figures out he can get close to Cinny if he asks her for help with college applications. But friendship isn't enough, he wants romance and a prom date. So, he tells a few lies and, for awhile, it seems to be working. Then, things fall apart and Greg has to figure out how to put the trippin aside and get real.",58
2625,"Tsui Chik tries to lead a quiet life as a librarian. However, he is really a former test subject for a highly secretive supersoldier project and the instructor of a special commando unit dubbed ""701."" The 701 squad is used for many government missions, but after one of the agents kills a team of policemen in an uncontrollable rage, the government decides to abort the project and eliminate all the subjects. Tsui Chik helped the surviving 701 agents flee the extermination attempt. Having escaped, Tsui Chik went separate ways from his team. Later, he discovers that the rest of the team were responsible for a violent crime spree that was beyond the capability of the local police. He sets out to stop them, donning a disguise and using the superhero alias of ""Black Mask"". Having lost the ability to feel pain due to the surgery performed on the super-soldiers by the military, Black Mask is almost invulnerable.",62
2624,"On a cold Monday morning, a group of counselors clock in at an old-fashioned social services office. Their task is to interview the recently deceased, record their personal details, then, over the course of the week, assist them in choosing a single memory to keep for eternity.",71
2630,"When an African dictator jails her husband, Shandurai goes into exile in Italy, studying medicine and keeping house for Mr. Kinsky, an eccentric English pianist and composer. She lives in one room of his Roman palazzo. He besieges her with flowers, gifts, and music, declaring passionately that he loves her, would go to Africa with her, would do anything for her. ""What do you know of Africa?,"" she asks, then, in anguish, shouts, ""Get my husband out of jail!"" The rest of the film plays out the implications of this scene and leaves Shandurai with a choice.",68
2629,A romantic comedy about a mysterious love letter that turns a sleepy New England town upside down.,53
2632,"In the Napoleonic wars, an officer finds an old book that relates his grandfather's story, Alfons van Worden, captain in the Walloon guard. A man of honor and courage, he seeks the shortest route through the Sierra Morena. At an inn, the Venta Quemada, he sups with two Islamic princesses. They call him their cousin and seduce him; he wakes beside corpses under a gallows. He meets a hermit priest and a goatherd; each tells his story; he wakes again by the gallows. He's rescued from the Inquisition, meets a cabalist and hears more stories within stories, usually of love. He returns to Venta Quemada, the women await with astonishing news.",79
2628,"Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.",65
2617,Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.,69
2617,Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.,69
2639,"Renowned actress Joan Crawford, at the height of her career, adopts two orphans — Christina and Christopher — to fill the lonely gap in her personal life. However, as her professional and romantic relationships sour, Joan's already callous and abusive behavior towards Christina intensifies. Christina leaves home to pursue an acting path of her own, only to find her mother's presence still overshadowing her.",64
2640,"Mild-mannered Clark Kent works as a reporter at the Daily Planet alongside his crush, Lois Lane. Clark must summon his superhero alter-ego when the nefarious Lex Luthor launches a plan to take over the world.",71
2641,"Three escaped criminals from the planet Krypton test the Man of Steel's mettle. Led by General Zod, the Kryptonians take control of the White House and partner with Lex Luthor to destroy Superman and rule the world. But Superman, who attempts to make himself human in order to get closer to Lois, realizes he has a responsibility to save the planet.",67
2648,"Dr. Henry Frankenstein attempts to create life by assembling a creature from body parts of the deceased. Aided by his loyal misshapen assistant, Fritz, Frankenstein succeeds in animating his monster, but, confused and traumatized, it escapes into the countryside and begins to wreak havoc. Frankenstein searches for the elusive being and eventually must confront his tormented creation.",75
2651,"Grave robbers open the grave of the wolf man and awaken him. He doesn't like the idea of being immortal and killing people when the moon is full so tries to find Dr. Frankenstein, in the hopes that the doctor can cure him. Dr. Frankenstein has died; however, his monster is found.",62
2652,Baron Victor Frankenstein has discovered life's secret and unleashed a blood-curdling chain of events resulting from his creation: a cursed creature with a horrid face — and a tendency to kill.,68
2654,"After his brother's death, Larry Talbot returns home to his father and the family estate. Events soon take a turn for the worse when Larry is bitten by a werewolf.",71
2655,"After his sister is turned into a werewolf and subsequently killed, Ben White decides to help the enigmatic Stefan Crosscoe fight the growing population of lupine monsters, along with the lovely Jenny Templeton. Traveling to Transylvania, Ben, Jenny and Crosscoe attempt to hunt down the powerful werewolf queen, Stirba, and must face her furry followers, as well as other supernatural forces.",51
2656,"A lone-wolf scientist sequestered in a mansion near a small desert town arouses the suspicion of the town's doctor when his lab assistant is found dead from a case of acromegaly which took only four days to develop.  As the doctor investigates, aided by the scientist's new, and very female, assistant, they discover that, far worse, something much larger and hungrier than it ever should be,  is devouring local cattle - and humans - in increasingly large quantities.",64
2657,"Sweethearts Brad and Janet, stuck with a flat tire during a storm, discover the eerie mansion of Dr. Frank-N-Furter, a transvestite scientist. As their innocence is lost, Brad and Janet meet a houseful of wild characters, including a rocking biker and a creepy butler. Through elaborate dances and rock songs, Frank-N-Furter unveils his latest creation: a muscular man named 'Rockv'.",75
2659,"Dan Aykroyd, John Candy, Gilda Radner and Cheech and Chong present this compilation of classic bad films from the 50's, 60's and 70's. Special features on gorilla pictures, anti-marijuana films and a special tribute to the worst film maker of all-time, Ed Wood.",54
2660,Scientists and US Air Force officials fend off a blood-thirsty alien organism while investigating at a remote arctic outpost.,68
2661,"Author & amateur astronomer John Putnam and schoolteacher Ellen Fields witness an enormous meteorite come down near a small town in Arizona, but Putnam becomes a local object of scorn when, after examining the object up close, he announces that it is a spacecraft, and that it is inhabited...",64
2665,"Test space rockets exploding at liftoff and increased reporting of UFO sightings culminate in a direct attempt by alien survivors of a dead, extra-galactic civilization to invade Earth from impervious flying saucers, using ray-weapons of mass destruction.",60
2662,"The residents of a small town are excited when a flaming meteor lands in the hills, until they discover it is the first of many transport devices from Mars bringing an army of invaders invincible to any man-made weapon, even the atomic bomb.",68
2664,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,75
2670,The captain of a submarine sunk by the Japanese during WWII is finally given a chance to skipper another sub after a year of working a desk job. His singleminded determination for revenge against the destroyer that sunk his previous vessel puts his new crew in unneccessary danger.,70
2671,"William Thacker is a London bookstore owner whose humdrum existence is thrown into romantic turmoil when famous American actress Anna Scott appears in his shop. A chance encounter over spilled orange juice leads to a kiss that blossoms into a full-blown affair. As the average bloke and glamorous movie star draw closer and closer together, they struggle to reconcile their radically different lifestyles in the name of love.",73
2672,"Los Angeles. A wealthy man, known as Mr. Fuller, discovers a shocking secret about the world he lives in. Fearing for his life, he leaves a desperate message for a friend of his in the most unexpected place.",70
2668,"Dr. Alec Holland, hidden away in the depths of a murky swamp, is trying to create a new species - a combination of animal and plant capable of adapting and thriving in the harshest conditions. Unfortunately he becomes subject of his own creation and is transformed. Arcane, desperate for the formula, attempts to capture the Swamp Thing. An explosive chase ensues that ultimately ends with a confrontation between Holland and a changed Arcane...",54
2677,"In this fascinating Oscar-nominated documentary, American guitarist Ry Cooder brings together a group of legendary Cuban folk musicians (some in their 90s) to record a Grammy-winning CD in their native city of Havana. The result is a spectacular compilation of concert footage from the group's gigs in Amsterdam and New York City's famed Carnegie Hall, with director Wim Wenders capturing not only the music -- but also the musicians' life stories.",75
2681,"Young filmmakers trying to hawk a movie titled ""Bradykillers"" about a serial killer who goes after victims Marcia, Jan, and Cindy meet their screen idol, William Shatner. The two young men, who idolize him and in their fantasies have seen him as a shadowy fairy godfather figure, are alarmed at the reality of the middle-aged non-Captain Kirk man that they meet.",62
2683,"When diabolical genius Dr. Evil travels back in time to steal superspy Austin Powers's ‘mojo,’ Austin must return to the swingin' '60s himself - with the help of American agent, Felicity Shagwell - to stop the dastardly plan. Once there, Austin faces off against Dr. Evil's army of minions to try to save the world in his own unbelievably groovy way.",63
2674,The story of the sexual development of a filmmaker through three stages of his life.,55
2676,"In a prison for the criminally insane, deranged anthropologist Ethan Powell is set to be examined by a bright young psychiatrist, Theo Caulder. Driven by ambition and a hunger for the truth, Caulder will eventually risk everything—even put his very life on the line—in a harrowing attempt to understand the bizarre actions of this madman.",64
2682,"Unconventional narrative about the interactions amongst a group of people in a small town in Alaska, each of whom guards a secret.",68
2686,"300 years of a remarkable musical instrument. Crafted by the Italian master Bussotti (Cecchi) in 1681, the red violin has traveled through Austria, England, China, and Canada, leaving both beauty and tragedy in its wake. In Montreal, Samuel L Jackson plays an appraiser going over its complex history.",74
2687,"Tarzan was a small orphan who was raised by an ape named Kala since he was a child. He believed that this was his family, but on an expedition Jane Porter is rescued by Tarzan. He then finds out that he's human. Now Tarzan must make the decision as to which family he should belong to...",74
2690,"Sir Robert Chiltern is a successful government minister, well-off and with a loving wife. All this is threatened when Mrs Cheveley appears in London with damning evidence of a past misdeed. Sir Robert turns for help to his friend Lord Goring, an apparently idle philanderer and the despair of his father. Goring knows the lady of old, and, for him, takes the whole thing pretty seriously.",64
2688,"When the body of Army Capt. Elizabeth Campbell is found on a Georgia military base, two investigators, Warrant Officers Paul Brenner and Sara Sunhill, are ordered to solve her murder. What they uncover is anything but clear-cut. Unseemly details emerge about Campbell's life, leading to allegations of a possible military coverup of her death and the involvement of her father, Lt. Gen. Joseph Campbell.",64
2691,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 (Tim Roth) learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",83
2693,A hilarious look at the universe's most fervent fans.,63
2695,"Brett Sprague is a violent and psychopathic man, who is released on parole after serving a sentence for assault. As he returns to his family house and we watch him and his brothers, Stevie and Glenn, for the next 24 hours, it becomes clear this day will not end well.",60
2694,"A lazy law school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father.",65
2698,"In a time of misery and fear two enemies come together to prevent an apocalypse conspired by their leaders. 40 years of war between the Federated Republics and the New Territories Union has taken its toll. The cities are overcrowded, farming land is riddled with unexploded mines -- and still there is no hope of peace. In this hostile, decaying world of the future on thing remains constant for Lieutenant Leo Megaw; his love for his pregnant wife. Her access to classified information makes her an increasing liability for the government. When she's ambushed, Leo is forced into exile. As a border patrolman on the isolated outpost of Zone 39, ordered to kill anyone that tries to cross the border, he comes to understand that ultimate catastrophe forced upon his world by his government. The real enemy is not looming across the border but standing right behind him. Now he must reach across the border into enemy territory and form an alliance to save his world.",48
2700,"When the four boys see an R-rated movie featuring Canadians Terrance and Philip, they are pronounced ""corrupted"", and their parents pressure the United States to wage war against Canada.",72
2699,"A large spider from the jungles of South America is accidentally transported in a crate with a dead body to America where it mates with a local spider. Soon after, the residents of a small California town disappear as the result of spider bites from the deadly spider offspring. It's up to a couple of doctors with the help of an insect exterminator to annihilate these eight legged freaks.",64
2709,"When Gonzo's breakfast cereal tells him that he's the descendant of aliens from another planet, his attempts at extraterrestrial communication get him kidnapped by a secret government agency, prompting the Muppets to spring into action. It's hard to believe Gonzo's story at first, but Kermit and friends soon find themselves on an epic journey into outer space filled with plenty of intergalactic misadventures.",61
2708,"Magali, forty-something, is a winemaker and a widow: she loves her work but feels lonely. Her friends Rosine  and Isabelle both want secretly to find a husband for Magali.",71
2701,Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.,53
2706,"At a high-school party, four friends find that losing their collective virginity isn't as easy as they had thought. But they still believe that they need to do so before college. To motivate themselves, they enter a pact to all ""score"" by their senior prom.",66
2710,"In October of 1994 three student filmmakers disappeared in the woods near Burkittsville, Maryland, while shooting a documentary. A year later their footage was found.",63
2712,"After Dr. Bill Harford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head.",75
2713,"When a man is eaten alive by an unknown creature, the local Game Warden teams up with a paleontologist from New York to find the beast. Add to the mix an eccentric philanthropist with a penchant for ""Crocs"", and here we go! This quiet, remote lake is suddenly the focus of an intense search for a crocodile with a taste for live animals...and people!",59
2716,"After losing their academic posts at a prestigious university, a team of parapsychologists goes into business as proton-pack-toting ""ghostbusters"" who exterminate ghouls, hobgoblins and supernatural pests of all stripes. An ad campaign pays off when a knockout cellist hires the squad to purge her swanky digs of demons that appear to be living in her refrigerator.",75
2717,"Five years after they defeated Gozer, the Ghostbusters are out of business. When Dana begins to have ghost problems again, the boys come out of retirement to aid her and hopefully save New York City from a new paranormal threat.",65
2718,"In a small Minnesota town, the annual beauty pageant is being covered by a TV crew. Former winner Gladys Leeman wants to make sure her daughter follows in her footsteps; explosions, falling lights, and trailer fires prove that. As the Leemans are the richest family in town, the police are pretty relaxed about it all. Despite everything, main rival (but sweet) Amber Atkins won't give up without a fight.",65
2550,"Dr. Markway, doing research to prove the existence of ghosts, investigates Hill House, a large, eerie mansion with a lurid history of violent death and insanity.",72
2720,"John Brown is a bumbling but well-intentioned security guard who is badly injured in an explosion planned by an evil mastermind. He is taken to a laboratory, where Brenda, a leading robotics surgeon, replaces his damaged limbs with state-of-the-art gadgets and tools. Named ""Inspector Gadget"" by the press, John -- along with his niece, Penny, and her trusty dog, Brain -- uses his new powers to discover who was behind the explosion.",44
2722,"Researchers on the undersea lab Aquatica have genetically altered the brains of captive sharks to develop a cure for Alzheimer's disease. But there's an unexpected side effect: the sharks got smarter, faster, and more dangerous. After a big storm damages their remote research facility, they must fight for their lives.",59
2723,"When Champion City's hero Captain Amazing is kidnapped by the recently paroled supervillain Casanova Frankenstein, a trio of average, everyday superheroes -- Mr. Furious, the Shoveler and the Blue Raja -- assemble a new super team to save him.",58
2724,"Ike Graham, New York columnist, writes his text always at the last minute. This time, a drunken man in his favourite bar tells Ike about Maggie Carpenter, a woman who always flees from her grooms in the last possible moment. Ike, who does not have the best opinion about females anyway, writes an offensive column without researching the subject thoroughly.",61
2725,"Francis and Blake Falls are Siamese twins who live in a neat little room in a rundown hotel. While sharing some organs, Blake is always fit and Francis is very sickly. Into their world comes a young lady, who turns their world upside down. She gets involved with Blake, and convinces the two to attend a Halloween party, where they can pass themselves off as wearing a costume. Eventually Francis becomes really ill, and they have to be separated. They then face the physical and mental strains that come from their proposed separation.",72
2726,"Career criminal Johnny Clay recruits a sharpshooter, a crooked police officer, a bartender and a betting teller named George, among others, for one last job before he goes straight and gets married. But when George tells his restless wife about the scheme to steal millions from the racetrack where he works, she hatches a plot of her own.",77
2727,"The film revolves around Davey Gordon, a 29 year old welterweight New York boxer in the end of his career, and his relationship with a dancer and her violent employer.",64
2728,"The rebellious Thracian Spartacus, born and raised a slave, is sold to Gladiator trainer Batiatus. After weeks of being trained to kill for the arena, Spartacus turns on his owners and leads the other slaves in rebellion. As the rebels move from town to town, their numbers swell as escaped slaves join their ranks. Under the leadership of Spartacus, they make their way to southern Italy, where they will cross the sea and return to their homes.",76
2732,"In the carefree days before World War I, introverted Austrian author Jules strikes up a friendship with the exuberant Frenchman Jim. Both men fall for the impulsive and beautiful Catherine, but it's Jules who wins her hand. After the war, Jim visits Jules, Catherine and their daughter in their Austrian home and discovers not only that his feelings for Catherine are unchanged, but also that they're reciprocated.",76
2730,"An Irish rogue uses his cunning and wit to work his way up the social classes of 18th century England, transforming himself from the humble Redmond Barry into the noble Barry Lyndon.",80
2731,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",81
2735,"After a Tibetan boy, the mystical Golden Child, is kidnapped by the evil Sardo Numspa, humankind's fate hangs in the balance. On the other side of the world in Los Angeles, the priestess Kee Nang seeks the Chosen One, who will save the boy from death. When Nang sees social worker Chandler Jarrell on television discussing his ability to find missing children, she solicits his expertise, despite his skepticism over being ""chosen.""",59
2733,"Medium Sylvia Pickel and psychometrist Nick Deezy meet at a psychic research facility in New York. Not long after, they're contacted by Harry Buscafusco, who offers them $50,000 to find his lost son in South America, in the heart of Incan territory where they discover an ancient mystical secret, and each other.",58
2025,Urbane professor Humbert Humbert marries a New England widow to be near her nymphet daughter.,71
2734,"Allie Fox, an American inventor exhausted by the perceived danger and degradation of modern society, decides to escape with his wife and children to Belize. In the jungle, he tries with mad determination to create a utopian community with disastrous results.",64
2736,"Eugene, a young teenage Jewish boy, recalls his memoirs of his time as an adolescent youth. He lives with his parents, his aunt, two cousins, and his brother, Stanley, whom he looks up to and admires. He goes through the hardships of puberty, sexual fantasy, and living the life of a poor boy in a crowded house.",65
2737,"Jay Killon is the bodyguard of the recently elected US president, but he is assigned to the first lady (Lara Royce). Lara hates Killon so she does all she can to escape. The story complicates when someone tries to kill Lara.",57
2738,Three sisters try to come to grips with the meaning of their mother's suicide.,63
2739,"An epic tale spanning forty years in the life of Celie, an African-American woman living in the South who survives incredible abuse and bigotry. After Celie's abusive father marries her off to the equally debasing 'Mister' Albert Johnson, things go from bad to worse, leaving Celie to find companionship anywhere she can. She perseveres, holding on to her dream of one day being reunited with her sister in Africa.",78
2740,"Amanda's deathbed request to her son, John, was for him to destroy all the lab notes etc. from her last experiment. She also blurts out he had a brother. At the funeral John meets Melissa, who claims to be his mother's biggest fan. Together with some of John's friends they go to Amanda's house, but none are prepared for what they find there.",62
2741,An unconventional undercover Chicago cop and his partner are recruited to commit the murder of a New Orleans criminal kingpin.,59
2742,"Bickering couple Monique and Antoine are interrupted by bisexual burglar Bob while fighting in a bar. With husband and wife in need of cash, Bob teaches them the most efficient house burglary methods. Monique is attracted to the charismatic thief, but Bob is more interested in Antoine, who eventually succumbs to his attentions. As the trio continues living together, Monique grows unhappy about being ignored by both men.",66
2744,"Based on Shakespeare's play, Verdi's opera depicts the devastating effects of jealousy, ""...the green-eyed monster which doth mock the meat it feeds upon"". Believing Otello has promoted the fast-rising Cassio over himself, Iago plots to destroy both Cassio and Otello. Iago convinces the jealous Otello that his beautiful wife Desdemona is unfaithful, and that Cassio is her lover. Jealousy is followed by tragedy, then retribution, ""Has Heaven no more thunderbolts?""",64
2743,"In 1940s Chicago, a young black man takes a job as a chauffeur to a white family, which takes a turn for the worse when he accidentally kills the teenage daughter of the couple and then tries to cover it up.",54
2745,"When a Spanish Jesuit goes into the South American wilderness to build a mission in the hope of converting the Indians of the region, a slave hunter is converted and joins his mission. When Spain sells the colony to Portugal, they are forced to defend all they have built against the Portuguese aggressors.",74
2746,"Seymour Krelborn is a nerdy orphan working at Mushnik's, a flower shop in urban Skid Row. He harbors a crush on fellow co-worker Audrey Fulquard, and is berated by Mr. Mushnik daily. One day Seymour finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper.",69
